gene	process	chr	gene_function	ENSG
GPI	Glycolysis	19	GPI: Glycolytic enzyme that interconverts glucose-6-phophsate and fructose-6-phosphate	ENSG00000105220
GAPDHS	Glycolysis	19	GAPDHS: Catalyzes the reversible oxidative phosphorylation of glyceraldehyde-3-phosphate	ENSG00000105679
PCK1	Glycolysis	20	PCK1: Catalyzes the formation of phosphoenolpyruvate from oxaloacetate along with GTP and regulate gluconeogenesis	ENSG00000124253
PFKL	Glycolysis	21	PFKL: Catalyzes the conversion of fructose 6-phosphate to fructose 1,6-bisphosphate	ENSG00000141959
ALDOC	Glycolysis	NA	fructose-bisphosphate aldolase activity	NA
HK1	Glycolysis	NA	ATP binding; fructokinase activity; glucokinase activity; hexokinase activity; mannokinase activity	NA
HK2	Glycolysis	NA	ATP binding; fructokinase activity; glucokinase activity; hexokinase activity; mannokinase activity	NA
HK3	Glycolysis	NA	ATP binding; fructokinase activity; glucokinase activity; hexokinase activity; mannokinase activity	NA
HKDC1	Glycolysis	NA	ATP binding; fructokinase activity; glucokinase activity; hexokinase activity; mannokinase activity	NA
PGK1	Glycolysis	X	PGK1: Catalyzes the conversion of 1,3-diphosphoglycerate to 3-phosphoglycerate	ENSG00000102144
UROD	Heme Biosynthesis	1	UROD: Uroporphyrinogen III decarboxylase catalyzes stepwise decarboxylation of the Uroporphyrinogen III	ENSG00000126088
ALAD	Heme Biosynthesis	9	ALAD: ALA dehydratase catalyzes the reaction where two molecules of ALA condenses to form monopyrrole porphobilinogen (PBG)	ENSG00000148218
HMBS	Heme Biosynthesis	11	HMBS: Hydroxymethylbilane synthase catalyzes head to tail condensation of four PBG and subsequent deamination to form a linear tetrapyrrole, Hydroxymethylbilane	ENSG00000256269
ALAS1	Heme Biosynthesis	NA	5-aminolevulinate synthase activity; pyridoxal phosphate binding; glycine C-acetyltransferase activity	NA
ALAS2	Heme Biosynthesis	NA	5-aminolevulinate synthase activity; pyridoxal phosphate binding; glycine C-acetyltransferase activity	NA
CLPX	Heme Biosynthesis	NA	ATP binding; nucleoside-triphosphatase activity; serine-type endopeptidase activity; unfolded protein binding	NA
CPOX	Heme Biosynthesis	NA	coproporphyrinogen oxidase activity	NA
FDX2	Heme Biosynthesis	NA	2 iron; 2 sulfur cluster binding; electron carrier activity	NA
FECH	Heme Biosynthesis	NA	2 iron, 2 sulfur cluster binding, ferrochelatase activity metal ion binding	NA
FTH1	Heme Biosynthesis	NA	ferric iron binding; ferrous iron binding	NA
FTMT	Heme Biosynthesis	NA	ferric iron binding; ferrous iron binding	NA
GCAT	Heme Biosynthesis	NA	glycine C-acetyltransferase activity; 5-aminolevulinate synthase activity; pyridoxal phosphate binding	NA
PPOX	Heme Biosynthesis	NA	oxygen-dependent protoporphyrinogen oxidase activity	NA
UROS	Heme Biosynthesis	NA	uroporphyrinogen-III synthase activity	NA
TOMM6	Import & Sorting	6	TOMM6: Outer membrane translocation, required for the assembly and stability of the TOM complex	ENSG00000214736
TOMM5	Import & Sorting	9	TOMM5: Outer membrane translocation, transports preprotein to the import pore formed by TOMM40	ENSG00000175768
ABCB10	Import & Sorting	NA	ATP binding; ATPase activity; coupled to transmembrane movement of substances; oligopeptide-transporting ATPase activity; transporter activity; xenobiotic-transporting ATPase activity	NA
ABCB6	Import & Sorting	NA	ATP binding; ATPase activity; coupled to transmembrane movement of substances; cadmium ion transmembrane transporter activity; heme transporter activity; transporter activity	NA
ABCB7	Import & Sorting	NA	ATP binding; ATPase activity; coupled to transmembrane movement of substances; cadmium ion transmembrane transporter activity; heme transporter activity; transporter activity	NA
ABCB8	Import & Sorting	NA	ATP binding; ATPase activity; coupled to transmembrane movement of substances; oligopeptide-transporting ATPase activity; transporter activity; xenobiotic-transporting ATPase activity	NA
ABCF2	Import & Sorting	NA	ATP binding; ATPase activity; coupled to transmembrane movement of substances; transporter activity	NA
CHCHD10	Import & Sorting	NA		NA
CHCHD2	Import & Sorting	NA	seauence-specific DNA binding	NA
CHCHD4	Import & Sorting	NA	ribonuclease activity	NA
CHCHD7	Import & Sorting	NA		NA
DNAJC15	Import & Sorting	NA	ATPase activator activity	NA
DNAJC19	Import & Sorting	NA	ATPase activator activity	NA
DNLZ	Import & Sorting	NA	zinc ion binding	NA
FXC1	Import & Sorting	NA	P-P-bond-hydrolysis-driven protein transmembrane transporter activity	NA
GRPEL1	Import & Sorting	NA	adenyl-nucleotide exchange factor activity; chaperone binding; protein homodimerization activity; unfolded protein binding	NA
GRPEL2	Import & Sorting	NA	adenyl-nucleotide exchange factor activity; chaperone binding; protein homodimerization activity; unfolded protein binding	NA
HSPA9	Import & Sorting	NA	ATP binding; ATPase activity; unfolded protein binding	NA
HSPD1	Import & Sorting	NA	ATP binding; ATPase activity; coupled; unfolded protein binding	NA
HSPE1	Import & Sorting	NA	unfolded protein binding	NA
IMMP1L	Import & Sorting	NA	serine-type peptidase activity	NA
IMMP2L	Import & Sorting	NA	serine-type peptidase activity	NA
METAP1D	Import & Sorting	NA	aminopeptidase activity; metalloexopeptidase activity	NA
MIPEP	Import & Sorting	NA	metalloendopeptidase activity	NA
MMADHC	Import & Sorting	NA		NA
MTX1	Import & Sorting	NA		NA
MTX2	Import & Sorting	NA		NA
MTX3	Import & Sorting	NA		NA
PAM16	Import & Sorting	NA		NA
PMPCA	Import & Sorting	NA	metal ion binding; metalloendopeptidase activity	NA
SAMM50	Import & Sorting	NA		NA
SFXN1	Import & Sorting	NA	cation transmembrane transporter activity; tricarboxylate secondary active transmembrane transporter activity	NA
SFXN2	Import & Sorting	NA	cation transmembrane transporter activity; tricarboxylate secondary active transmembrane transporter activity; DNA binding	NA
SFXN3	Import & Sorting	NA	cation transmembrane transporter activity; tricarboxylate secondary active transmembrane transporter activity; DNA binding	NA
SFXN5	Import & Sorting	NA	cation transmembrane transporter activity; tricarboxylate secondary active transmembrane transporter activity; DNA binding	NA
TAMM41	Import & Sorting	NA		NA
TIMM10	Import & Sorting	NA	P-P-bond-hydrolysis-driven protein transmembrane transporter activity	NA
TIMM13	Import & Sorting	NA	metal ion binding; protein transporter activity; P-P-bond-hydrolysis-driven protein transmembrane transporter activity	NA
TIMM17A	Import & Sorting	NA	P-P-bond-hydrolysis-driven protein transmembrane transporter activity; protein transporter activity	NA
TIMM17B	Import & Sorting	NA	P-P-bond-hydrolysis-driven protein transmembrane transporter activity; protein transporter activity	NA
TIMM21	Import & Sorting	NA	mitohcondrial protein-transporting ATPase activity	NA
TIMM22	Import & Sorting	NA	P-P-bond-hydrolysis-driven protein transmembrane transporter activity	NA
TIMM23	Import & Sorting	NA	protein channel activity	NA
TIMM29	Import & Sorting	NA		NA
TIMM44	Import & Sorting	NA	P-P-bond-hydrolysis-driven protein transmembrane transporter activity	NA
TIMM50	Import & Sorting	NA		NA
TIMM8A	Import & Sorting	NA	P-P-bond-hydrolysis-driven protein transmembrane transporter activity	NA
TIMM8B	Import & Sorting	NA	P-P-bond-hydrolysis-driven protein transmembrane transporter activity	NA
TIMM9	Import & Sorting	NA	P-P-bond-hydrolysis-driven protein transmembrane transporter activity	NA
TIMMDC1	Import & Sorting	NA		NA
TOMM20	Import & Sorting	NA	P-P-bond-hydrolysis-driven protein transmembrane transporter activity	NA
TOMM20L	Import & Sorting	NA	P-P-bond-hydrolysis-driven protein transmembrane transporter activity	NA
TOMM22	Import & Sorting	NA	P-P-bond-hydrolysis-driven protein transmembrane transporter activity	NA
TOMM34	Import & Sorting	NA	chaperone binding; protein serine/threonine phosphatase activity; aryl hydrocarbon receptor binding	NA
TOMM40	Import & Sorting	NA	protein channel activity; P-P-bond-hydrolysis-driven protein transmembrane transporter activity	NA
TOMM40L	Import & Sorting	NA	protein channel activity; P-P-bond-hydrolysis-driven protein transmembrane transporter activity	NA
TOMM7	Import & Sorting	NA	P-P-bond-hydrolysis-driven protein transmembrane transporter activity	NA
TOMM70A	Import & Sorting	NA	P-P-bond-hydrolysis-driven protein transmembrane transporter activity	NA
VDAC1	Import & Sorting	NA	cation channel activity; porin activity; channel activity; voltage-gated anion channel activity	NA
VDAC2	Import & Sorting	NA	cation channel activity; porin activity; channel activity; voltage-gated anion channel activity	NA
VDAC3	Import & Sorting	NA	cation channel activity; porin activity; channel activity; voltage-gated anion channel activity	NA
LIAS	Lipoic Acid Metabolism	NA	4 iron; 4 sulfur cluster binding; lipoate synthase activity	NA
LIPT1	Lipoic Acid Metabolism	NA	lipoate-protein ligase activity; lipoyltransferase activity	NA
LIPT2	Lipoic Acid Metabolism	NA	lipoate-protein ligase activity; octanoyltransferase activity	NA
ABCD1	Metabolism of Lipids & Lipoproteins	NA	ATP binding; ATPase activity; coupled to transmembrane movement of substances; transporter activity	NA
ABCD2	Metabolism of Lipids & Lipoproteins	NA	ATP binding; ATPase activity; coupled to transmembrane movement of substances; transporter activity	NA
ABCD3	Metabolism of Lipids & Lipoproteins	NA	ATP binding; ATPase activity; coupled to transmembrane movement of substances; transporter activity	NA
ACP6	Metabolism of Lipids & Lipoproteins	NA	acid phosphatase activity	NA
AKR1B15	Metabolism of Lipids & Lipoproteins	NA	alcohol dehydrogenase (NADP+) activity	NA
CDS2	Metabolism of Lipids & Lipoproteins	NA	phosphatidate cytidylyltransferase activity	NA
CYP11A1	Metabolism of Lipids & Lipoproteins	NA	ecdysteroid 2-hydroxylase activity; electron carrier activity; heme binding; iron ion binding; oxidoreductase activity; acting on paired donors; with incorporation or reduction of molecular oxygen	NA
CYP11B1	Metabolism of Lipids & Lipoproteins	NA	ecdysteroid 2-hydroxylase activity; electron carrier activity; heme binding; iron ion binding; oxidoreductase activity; acting on paired donors; with incorporation or reduction of molecular oxygen	NA
CYP11B2	Metabolism of Lipids & Lipoproteins	NA	ecdysteroid 2-hydroxylase activity; electron carrier activity; heme binding; iron ion binding; oxidoreductase activity; acting on paired donors; with incorporation or reduction of molecular oxygen	NA
CYP27A1	Metabolism of Lipids & Lipoproteins	NA	ecdysteroid 2-hydroxylase activity; electron carrier activity; heme binding; iron ion binding; oxidoreductase activity; acting on paired donors; with incorporation or reduction of molecular oxygen	NA
DMGDH	Metabolism of Lipids & Lipoproteins	NA	aminomethyltransferase activity; sarcosine dehydrogenase activity	NA
FDPS	Metabolism of Lipids & Lipoproteins	NA	dimethylallyltranstransferase activity; geranyltranstransferase activity	NA
GPAM	Metabolism of Lipids & Lipoproteins	NA	glycerol-3-phosphate O-acyltransferase activity	NA
GPAT2	Metabolism of Lipids & Lipoproteins	NA	glycerol-3-phosphate O-acyltransferase activity	NA
HSD3B1	Metabolism of Lipids & Lipoproteins	NA	3-beta-hydroxy-delta5-steroid dehydrogenase activity; oxidoreductase activity; acting on CH-OH group of donors	NA
HSD3B2	Metabolism of Lipids & Lipoproteins	NA	3-beta-hydroxy-delta5-steroid dehydrogenase activity; oxidoreductase activity; acting on CH-OH group of donors	NA
NUDT19	Metabolism of Lipids & Lipoproteins	NA	hydrolase activity	NA
OPA3	Metabolism of Lipids & Lipoproteins	NA		NA
Opa3 like	Metabolism of Lipids & Lipoproteins	NA		NA
PISD	Metabolism of Lipids & Lipoproteins	NA	phosphatidylserine decarboxylase activity	NA
PTPMT1	Metabolism of Lipids & Lipoproteins	NA	phosphatidylinositol-4; 5-bisphosphate 5-phosphatase activity; protein tyrosine phosphatase activity; protein tyrosine/serine/threonine phosphatase activity	NA
SARDH	Metabolism of Lipids & Lipoproteins	NA	aminomethyltransferase activity; sarcosine dehydrogenase activity	NA
SLMO1	Metabolism of Lipids & Lipoproteins	NA		NA
SLMO2	Metabolism of Lipids & Lipoproteins	NA		NA
CARKD	Metabolism of Vitamins & Co-Factors	NA	ATP-dependent NAD(P)H-hydrate dehydratase activity; ATP binding	NA
COASY	Metabolism of Vitamins & Co-Factors	NA	ATP binding; dephospho-CoA kinase activity; pantetheine-phosphate adenylyltransferase activity	NA
CYB5A	Metabolism of Vitamins & Co-Factors	NA	electron carrier activity; heme binding	NA
CYB5B	Metabolism of Vitamins & Co-Factors	NA	electron carrier activity; heme binding	NA
CYP24A1	Metabolism of Vitamins & Co-Factors	NA	ecdysone 20-monooxygenase activity; ecdysteroid 22-hydroxylase activity; electron carrier activity; heme binding; iron ion binding; oxidoreductase activity; acting on paired donors; with incorporation or reduction of molecular oxygen	NA
CYP27B1	Metabolism of Vitamins & Co-Factors	NA	electron carrier activity; heme binding; iron ion binding; oxidoreductase activity; acting on paired donors; with incorporation or reduction of molecular oxygen	NA
DHRS4	Metabolism of Vitamins & Co-Factors	NA	oxidoreductase activity; acting on CH-OH group of donors	NA
HSD17B8	Metabolism of Vitamins & Co-Factors	NA	oxidoreductase activity; acting on CH-OH group of donors	NA
MMADHC	Metabolism of Vitamins & Co-Factors	NA		NA
PANK2	Metabolism of Vitamins & Co-Factors	NA	ATP binding; pantothenate kinase activity	NA
RFK	Metabolism of Vitamins & Co-Factors	NA	riboflavin kinase activity	NA
MRPL12	Mitochondrial Carrier	NA	oxoglutarate:malate antiporter activity; transmembrane transporter activity	NA
slc17a8	Mitochondrial Carrier	NA	high affinity inorganic phosphate:sodium symporter activity; high-affinity glutamate transmembrane transporter activity; sodium:inorganic phosphate symporter activity; sodium-dependent phosphate transmembrane transporter activity	NA
SLC22A4	Mitochondrial Carrier	NA	cation transmembrane transporter activity; organic cation transmembrane transporter activity	NA
SLC25A1	Mitochondrial Carrier	NA	transmembrane transporter activity; tricarboxylate secondary active transmembrane transporter activity	NA
SLC25A10	Mitochondrial Carrier	NA	dicarboxylic acid transmembrane transporter activity; inorganic phosphate transmembrane transporter activity; malate transmembrane transporter activity; oxaloacetate transmembrane transporter activity; succinate transmembrane transporter activity; sulfate transmembrane transporter activity; thiosulfate transmembrane transporter activity; transmembrane transporter activity; oxoglutarate:malate antiporter activity;	NA
SLC25A11	Mitochondrial Carrier	NA	oxoglutarate:malate antiporter activity; transmembrane transporter activity	NA
SLC25A14	Mitochondrial Carrier	NA	transmembrane transporter activity	NA
SLC25A15	Mitochondrial Carrier	NA	amino acid transmembrane transporter activity; L-ornithine transmembrane transporter activity; transmembrane transporter activity	NA
SLC25A16	Mitochondrial Carrier	NA	transmembrane transporter activity	NA
SLC25A18	Mitochondrial Carrier	NA	acyl carnitine transmembrane transporter activity; carnitine transmembrane transporter activity; transmembrane transporter activity	NA
SLC25A19	Mitochondrial Carrier	NA	oxidative phosphorylation uncoupler activity; transmembrane transporter activity	NA
SLC25A2	Mitochondrial Carrier	NA	amino acid transmembrane transporter activity; L-ornithine transmembrane transporter activity; transmembrane transporter activity	NA
SLC25A21	Mitochondrial Carrier	NA	oxidative phosphorylation uncoupler activity; transmembrane transporter activity; tricarboxylate secondary active transmembrane transporter activity	NA
SLC25A22	Mitochondrial Carrier	NA	acyl carnitine transmembrane transporter activity; carnitine transmembrane transporter activity; transmembrane transporter activity	NA
SLC25A23	Mitochondrial Carrier	NA	calcium ion binding; transmembrane transporter activity	NA
SLC25A24	Mitochondrial Carrier	NA	calcium ion binding; transmembrane transporter activity	NA
SLC25A25	Mitochondrial Carrier	NA	calcium ion binding; transmembrane transporter activity	NA
SLC25A26	Mitochondrial Carrier	NA	transmembrane transporter activity	NA
SLC25A27	Mitochondrial Carrier	NA	oxidative phosphorylation uncoupler activity; transmembrane transporter activity	NA
SLC25A29	Mitochondrial Carrier	NA	transmembrane transporter activity	NA
SLC25A3	Mitochondrial Carrier	NA	phosphate ion transmembrane transporter activity; transmembrane transporter activity	NA
SLC25A30	Mitochondrial Carrier	NA	transmembrane transporter activity	NA
SLC25A33	Mitochondrial Carrier	NA	transmembrane transporter activity	NA
SLC25A34	Mitochondrial Carrier	NA	transmembrane transporter activity	NA
SLC25A35	Mitochondrial Carrier	NA	transmembrane transporter activity	NA
SLC25A36	Mitochondrial Carrier	NA	transmembrane transporter activity	NA
SLC25A39	Mitochondrial Carrier	NA	transmembrane transporter activity	NA
SLC25A40	Mitochondrial Carrier	NA	transmembrane transporter activity	NA
SLC25A41	Mitochondrial Carrier	NA	calcium ion binding; transmembrane transporter activity	NA
SLC25A42	Mitochondrial Carrier	NA	transmembrane transporter activity	NA
SLC25A44	Mitochondrial Carrier	NA	transmembrane transporter activity	NA
SLC25A45	Mitochondrial Carrier	NA	transmembrane transporter activity	NA
SLC25A47	Mitochondrial Carrier	NA	transmembrane transporter activity	NA
SLC25A48	Mitochondrial Carrier	NA	transmembrane transporter activity	NA
SLC25A51	Mitochondrial Carrier	NA	transmembrane transporter activity	NA
SLC25A52	Mitochondrial Carrier	NA	transmembrane transporter activity	NA
SLC25A53	Mitochondrial Carrier	NA	transmembrane transporter activity	NA
SLC3A1	Mitochondrial Carrier	NA	alpha-glucosidase activity; catalytic activity; cation binding	NA
SLC44A1	Mitochondrial Carrier	NA		NA
UCP1	Mitochondrial Carrier	NA	transmembrane transporter activity	NA
UCP2	Mitochondrial Carrier	NA	transmembrane transporter activity	NA
UCP3	Mitochondrial Carrier	NA	transmembrane transporter activity	NA
OMA1	Mitochondrial Dynamics	1	OMA1: Involved in the mitochondrial fusion, know to induce proteolytic inactivation of OPA1	ENSG00000162600
SH3GLB1	Mitochondrial Dynamics	1	SH3GLB1: Involved in the mitochondrial fission, proposed to be involved in the lipid remodeling of the outer membrane during fission	ENSG00000097033
KIF1B	Mitochondrial Dynamics	1	KIF1B: Involved in the mitochondrial movement, have role in the mitochondrial distribution in neurons	ENSG00000054523
SQSTM1	Mitochondrial Dynamics	5	SQSTM1: Involved  in the mitophagy, recruited to mitochondria and binds mitochondrial substrates on the autophagosomes	ENSG00000161011
PKIA	Mitochondrial Dynamics	8	PKIA: Involved in the mitochondrial fission, is known to inhibit GTPase activity of DNM1L	ENSG00000171033
SYBU	Mitochondrial Dynamics	8	SYBU: Involved in the mitochondrial movement, have a role in linking the mitochondria to KIF5B	ENSG00000147642
KIF5B	Mitochondrial Dynamics	10	KIF5B: Involved in the mitochondrial movement, have role in the mitochondrial distribution in neurons	ENSG00000170759
AMBRA1	Mitochondrial Dynamics	11	AMBRA1: Involved in the mitophagy, translocates to the mitochondria and facilitate phagophore formation	ENSG00000110497
MIEF2	Mitochondrial Dynamics	17	MIEF2: Involved in the mitochondrial fission, suggested to have roles in recruiting DNM1L	ENSG00000177427
BECN1	Mitochondrial Dynamics	17	BECN1: Involved in the mitophagy, involved in the initiation of autophagy	ENSG00000126581
GABARAP	Mitochondrial Dynamics	17	GABARAP: Involved in the mitophagy, interacts with BNIP3 and BNIP3L to remove mitochondria via autophagy	ENSG00000170296
MAP1LC3A	Mitochondrial Dynamics	20	MAP1LC3A: Involved in the mitophagy, interacts with BNIP3 and BNIP3L to remove mitochondria via autophagy	ENSG00000101460
MIEF1	Mitochondrial Dynamics	22	MIEF1: Involved in the mitochondrial fission, suggested to have roles in recruiting DNM1L	ENSG00000100335
AFG3L2	Mitochondrial Dynamics	NA	ATP binding; ATPase activity; metalloendopeptidase activity; metallopeptidase activity; zinc ion binding	NA
AGTPBP1	Mitochondrial Dynamics	NA	metallocarboxypeptidase activity; zinc ion binding	NA
APOOL	Mitochondrial Dynamics	NA		NA
C19orf70	Mitochondrial Dynamics	NA		NA
CHCHD3	Mitochondrial Dynamics	NA		NA
CHCHD6	Mitochondrial Dynamics	NA		NA
DNAJC11	Mitochondrial Dynamics	NA	ATPase activator activity	NA
DNM1L	Mitochondrial Dynamics	NA	actin binding; GTP binding; GTPase activity; microtubule binding; microtubule motor activity	NA
FIS1	Mitochondrial Dynamics	NA		NA
FUNDC1	Mitochondrial Dynamics	NA		NA
FUNDC2	Mitochondrial Dynamics	NA		NA
GDAP1	Mitochondrial Dynamics	NA	glutathione transferase activity	NA
IMMT	Mitochondrial Dynamics	NA		NA
KIAA1279	Mitochondrial Dynamics	NA	kinesin binding	NA
MARCH5	Mitochondrial Dynamics	NA	zinc ion binding	NA
MFF	Mitochondrial Dynamics	NA		NA
MFN1	Mitochondrial Dynamics	NA	GTP binding; GTPase activity	NA
MFN2	Mitochondrial Dynamics	NA	GTP binding; GTPase activity	NA
MIC13	Mitochondrial Dynamics	NA		NA
MIC27	Mitochondrial Dynamics	NA		NA
MINOS1	Mitochondrial Dynamics	NA		NA
MSTO1	Mitochondrial Dynamics	NA		NA
MTFP1	Mitochondrial Dynamics	NA		NA
OPA1	Mitochondrial Dynamics	NA	GTP binding; GTPase activity	NA
PGAM5	Mitochondrial Dynamics	NA	phosphoprotein phosphatase activity; protein binding; protein serine/threonine kinase activator activity	NA
PHB2	Mitochondrial Dynamics	NA		NA
PINK1	Mitochondrial Dynamics	NA	ATP binding; protein binding; protein kinase activity; protein serine/threonine kinase activity	NA
SLC25A31	Mitochondrial Dynamics	NA	ATP:ADP antiporter activity; transmembrane transporter activity	NA
SLC25A4	Mitochondrial Dynamics	NA	ATP:ADP antiporter activity; transmembrane transporter activity	NA
SLC25A46	Mitochondrial Dynamics	NA		NA
SLC25A5	Mitochondrial Dynamics	NA	ATP:ADP antiporter activity; transmembrane transporter activity	NA
SLC25A6	Mitochondrial Dynamics	NA	ATP:ADP antiporter activity; transmembrane transporter activity	NA
SPG7	Mitochondrial Dynamics	NA	ATP binding; ATPase activity; metalloendopeptidase activity; metallopeptidase activity; zinc ion binding	NA
TCAIM	Mitochondrial Dynamics	NA		NA
TMEM11	Mitochondrial Dynamics	NA		NA
TRAK1	Mitochondrial Dynamics	NA	kinesin-associated mitochondrial adaptor activity; myosin binding	NA
TRAK2	Mitochondrial Dynamics	NA	kinesin-associated mitochondrial adaptor activity; myosin binding	NA
USP30	Mitochondrial Dynamics	NA	ubiquitin thiolesterase activity	NA
YME1L1	Mitochondrial Dynamics	NA	ATP binding; ATP-dependent peptidase activity; metalloendopeptidase activity	NA
AKAP1	Mitochondrial Signaling	NA	protein kinase A binding; RNA binding	NA
AKAP10	Mitochondrial Signaling	NA	protein kinase A binding	NA
APOA1BP	Mitochondrial Signaling	NA		NA
FGR	Mitochondrial Signaling	NA	ATP binding; protein tyrosine kinase activity	NA
IDE	Mitochondrial Signaling	NA	metal ion binding; metalloendopeptidase activity; zinc ion binding	NA
LYN	Mitochondrial Signaling	NA	ATP binding; protein tyrosine kinase activity	NA
MACROD1	Mitochondrial Signaling	NA		NA
MTOR	Mitochondrial Signaling	NA	drug binding; phosphotransferase activity; alcohol group as acceptor; protein kinase activity; protein self-association	NA
NRD1	Mitochondrial Signaling	NA	metal ion binding; metalloendopeptidase activity; zinc ion binding	NA
RHOT1	Mitochondrial Signaling	NA	calcium ion binding; GTP binding; GTPase activity	NA
RHOT2	Mitochondrial Signaling	NA	calcium ion binding; GTP binding; GTPase activity	NA
SHC1	Mitochondrial Signaling	NA	receptor tyrosine kinase binding	NA
SIRT1	Mitochondrial Signaling	NA	histone deacetylase activity; NAD+ binding; NAD-dependent histone deacetylase activity; transcription factor binding	NA
SIRT4	Mitochondrial Signaling	NA	NAD+ binding	NA
SRC	Mitochondrial Signaling	NA	ATP binding; protein tyrosine kinase activity	NA
ARG2	Nitrogen Metabolism	NA	arginase activity; metal ion binding	NA
CA5A	Nitrogen Metabolism	NA	carbonate dehydratase activity	NA
CPS1	Nitrogen Metabolism	NA	amino acid binding; aspartate carbamoyltransferase activity; ATP binding; carbamoyl-phosphate synthase (ammonia) activity; carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity; dihydroorotase activity; glutamine binding; metal ion binding	NA
DDAH1	Nitrogen Metabolism	NA	dimethylargininase activity	NA
ADSL	Nucleotide Metabolism	NA	N6-(1; 2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity	NA
AK3	Nucleotide Metabolism	NA	adenylate kinase activity; ATP binding; nucleoside triphosphate adenylate kinase activity	NA
AK4	Nucleotide Metabolism	NA	adenylate kinase activity; ATP binding; nucleoside triphosphate adenylate kinase activity	NA
ATIC	Nucleotide Metabolism	NA	IMP cyclohydrolase activity; phosphoribosylaminoimidazolecarboxamide formyltransferase activity	NA
CTPS2	Nucleotide Metabolism	NA	DNA binding; ATP binding; CTP synthase activity	NA
DHODH	Nucleotide Metabolism	NA	dihydroorotate dehydrogenase activity; dihydroorotate oxidase activity; flavin adenine dinucleotide binding; FMN binding; glutamate synthase (NADH) activity; glutamate synthase (NADPH) activity; iron ion binding; iron-sulfur cluster binding	NA
DTYMK	Nucleotide Metabolism	NA	ATP binding; thymidylate kinase activity	NA
DUT	Nucleotide Metabolism	NA	dUTP diphosphatase activity	NA
MARC1	Nucleotide Metabolism	NA	catalytic activity; molybdenum ion binding; pyridoxal phosphate binding	NA
MARC2	Nucleotide Metabolism	NA	catalytic activity; molybdenum ion binding; pyridoxal phosphate binding	NA
NME6	Nucleotide Metabolism	NA	ATP binding; nucleoside diphosphate kinase activity	NA
NUDT9	Nucleotide Metabolism	NA	hydrolase activity	NA
TYMS	Nucleotide Metabolism	NA	thymidylate synthase activity	NA
ATAD1	Protein Stability & Degradation	NA	ATP binding; ATPase activity; nucleoside-triphosphatase activity	NA
CLPP	Protein Stability & Degradation	NA	serine-type endopeptidase activity	NA
DNAJC30	Protein Stability & Degradation	NA	chaperone binding	NA
LACE1	Protein Stability & Degradation	NA	ATP binding; ATPase activity	NA
LONP1	Protein Stability & Degradation	NA	ATP binding; ATP-dependent peptidase activity; mitochondrial light strand promoter anti-sense binding; serine-type endopeptidase activity; single-stranded DNA binding; single-stranded RNA binding	NA
MUL1	Protein Stability & Degradation	NA	ubiquitin-protein ligase activity; zinc ion binding	NA
NLN	Protein Stability & Degradation	NA	metalloendopeptidase activity	NA
PARK2	Protein Stability & Degradation	NA	ubiquitin conjugating enzyme binding; ubiquitin-protein ligase activity; zinc ion binding	NA
PITRM1	Protein Stability & Degradation	NA	metal ion binding; metalloendopeptidase activity	NA
RNF185	Protein Stability & Degradation	NA	zinc ion binding	NA
RNF5	Protein Stability & Degradation	NA	zinc ion binding	NA
UBA1	Protein Stability & Degradation	NA	ATP binding; ubiquitin activating enzyme activity; ubiquitin-protein ligase activity	NA
XPNPEP3	Protein Stability & Degradation	NA	aminopeptidase activity; dipeptidase activity; dipeptidyl-peptidase activity; manganese ion binding; metalloexopeptidase activity	NA
ACSS1	Pyruvate Metabolism	NA	acetate-CoA ligase activity; AMP binding	NA
ADHFE1	Pyruvate Metabolism	NA	metal ion binding; oxidoreductase activity	NA
ALDH7A1	Pyruvate Metabolism	NA	aldehyde dehydrogenase (NAD) activity	NA
DLAT	Pyruvate Metabolism	NA	dihydrolipoyllysine-residue acetyltransferase activity	NA
HAGH	Pyruvate Metabolism	NA	hydroxyacylglutathione hydrolase activity; zinc ion binding	NA
L2HGDH	Pyruvate Metabolism	NA	oxidoreductase activity	NA
ME1	Pyruvate Metabolism	NA	malate dehydrogenase (decarboxylating) (NAD+) activity; malate dehydrogenase (decarboxylating) (NADP+) activity; metal ion binding; NAD binding	NA
ME2	Pyruvate Metabolism	NA	malate dehydrogenase (decarboxylating) (NAD+) activity; malate dehydrogenase (decarboxylating) (NADP+) activity; metal ion binding; NAD binding	NA
ME3	Pyruvate Metabolism	NA	malate dehydrogenase (decarboxylating) (NAD+) activity; malate dehydrogenase (decarboxylating) (NADP+) activity; metal ion binding; NAD binding	NA
MPC1	Pyruvate Metabolism	NA	pyruvate transmembrane transporter activity	NA
MPC2	Pyruvate Metabolism	NA	pyruvate transmembrane transporter activity	NA
PCK2	Pyruvate Metabolism	NA	GTP binding; phosphoenolpyruvate carboxykinase (GTP) activity	NA
PDHA1	Pyruvate Metabolism	NA	pyruvate dehydrogenase (acetyl-transferring) activity	NA
PDHA2	Pyruvate Metabolism	NA	pyruvate dehydrogenase (acetyl-transferring) activity	NA
PDHB	Pyruvate Metabolism	NA	pyruvate dehydrogenase (acetyl-transferring) activity	NA
PDK1	Pyruvate Metabolism	NA	ATP binding; pyruvate dehydrogenase (acetyl-transferring) kinase activity	NA
